Sample number,Pos,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total
Amp-1,Matrix,42.2111,2.0214,12.1118485876132,0.0471,17.3335,0.131,10.2568,11.1447,2.0958,1.097,0,98.4502485876132
Amp-2,Matrix,42.2088,2.0596,11.8755302917967,0,17.3493,0.1427,10.3515,11.247,2.0367,1.0441,0,98.3152302917967
Amp-3,Matrix,42.5256,1.9794,11.6554429286087,0.0805,17.0975,0.141,10.4292,11.1714,1.9825,1.0381,0,98.1006429286087
Amp-4,Matrix,42.8132,2.0146,11.6185915658486,0.0661,16.8645,0.1217,10.4461,11.3068,1.9644,1.0072,0,98.2231915658486
Amp-5,Matrix,42.5743,2.0157,11.6644260862899,0.0665,17.323,0.1409,10.3854,11.0946,1.9985,1.0539,0,98.3172260862899
Amp-6,Matrix,42.5924,2.0735,11.5736757774429,0,17.2313,0.1734,10.4032,11.1398,2.009,1.0796,0,98.2758757774429
Amp-7,Matrix,42.1855,2.096,11.7651803661909,0,17.3148,0.1311,10.53,11.1342,2.0226,1.0852,0,98.2645803661909
Amp-8,Matrix,42.2979,2.0851,11.742007902627,0.0484,17.2875,0.0981,10.3369,11.2118,1.9726,1.0993,0,98.179607902627
Amp-9,Matrix,42.9791,2.1246,11.4968085304667,0.0473,17.1975,0.1244,10.4892,11.1714,1.9084,1.027,0,98.5657085304667
Amp-10,Matrix,42.3534,2.0909,11.6816778322911,0.062,17.3114,0.1591,10.444,11.2227,2.038,1.0675,0,98.4306778322911
Amp-11,Matrix,42.6756,2.1095,11.6353329051634,0.05,17.2967,0.1232,10.3171,11.1973,2.0729,1.0515,0,98.5291329051634
Amp-12,Matrix,43.1137,2.3934,11.1335010510668,0.0889,16.6216,0.1261,10.4933,11.3653,1.8189,0.992,0,98.1467010510668
Amp-13,Matrix,43.0888,2.3647,11.0418320101843,0.127,16.5857,0.1159,10.4922,11.4125,1.6991,0.9758,0,97.9035320101843
Amp-14,Matrix,42.9859,2.4192,11.2008747336754,0.1117,16.4781,0.1962,10.4795,11.449,1.8152,1.0271,0,98.1627747336754
Amp-15,Matrix,42.3958,2.0695,11.8664450527783,0.1071,16.4555,0.152,10.6283,11.32,1.9707,1.0406,0,98.0059450527783
Amp-16,Matrix,42.8887,2.0273,11.6672843637339,0.1155,16.5834,0.1248,10.6607,11.3611,2.0142,0.9957,0,98.4386843637339
Amp-17,Matrix,42.7091,2.0196,11.534782787937,0.1171,16.2961,0.1228,10.7401,11.4421,1.9149,1.0541,0,97.950682787937
Amp-18,Matrix,42.5571,2.0922,11.7400683572186,0.1457,16.2063,0.116,10.7658,11.6409,1.851,1.0403,0,98.1553683572186
Amp-19,Matrix,42.9059,2.0779,11.8501120388126,0.177,16.5038,0.1485,10.7024,11.5142,1.9701,1.0303,0,98.8802120388126
Amp-20,Matrix,42.7763,2.0981,11.8259187618759,0.1379,16.4037,0.1374,10.7123,11.4619,1.8693,1.0768,0,98.4996187618759
