LABEL,position,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total
Bt-1.1,Matrix,35.6281,3.707,15.2148149970871,0.2073,18.3719,0.0733,12.1617,0.1232,0.0816,9.2361,0,94.8050149970871
Bt-1.2,Matrix,35.9846,3.681,15.0366830635236,0.1962,18.6473,0.0536,12.3371,0.0915,0.1154,9.1929,0,95.3362830635236
Bt-1.3,Matrix,35.9867,3.6618,15.0091211024564,0.2067,18.4921,0,12.2786,0.1014,0.188,9.2664,0,95.1908211024564
Bt-1.4,Matrix,35.7792,3.6547,15.0039149542548,0.1792,18.4294,0.0655,12.3394,0.0777,0.1778,9.0982,0,94.8050149542548
Bt-1.5,Matrix,35.9944,3.6324,14.995748447272,0.2071,18.4079,0,12.2122,0.116,0.1967,8.9789,0,94.741348447272
Bt-1.6,Matrix,35.864,3.6557,15.109364975671,0.1924,18.369,0,12.3802,0.1206,0.1485,8.9983,0,94.838064975671
Bt-1.7,Matrix,35.8519,3.6584,15.3565038932397,0.2092,18.4529,0.0658,12.2058,0.1263,0.1486,8.9972,0,95.0726038932397
Bt-1.8,Matrix,35.7676,3.6473,15.2850469571397,0.1773,18.5538,0,12.2696,0.1106,0.124,9.04,0,94.9752469571397
Bt-1.9,Matrix,35.5043,3.7274,15.1525453813428,0.1975,18.475,0.091,12.2237,0.1758,0.1941,8.9441,0,94.6854453813428
Bt-1.10,Matrix,36.0548,3.6487,15.334454324386,0.2079,18.2793,0.0603,12.1532,0.1498,0.1456,9.0284,0,95.062454324386
Bt-2.1,Matrix,36.009,4.4905,15.0853758614088,0.0456,19.2457,0.0559,11.4883,0.1832,0.1532,8.9401,0,95.6968758614088
Bt-2.2,Matrix,36.0999,4.4624,15.1291687551044,0.0497,19.2606,0.0837,11.449,0.1932,0.1754,8.7585,0,95.6615687551044
Bt-2.3,Matrix,35.8511,4.4831,15.0109585665276,0.0708,19.0467,0.0614,11.604,0.1412,0.1648,8.9264,0,95.3604585665276
Bt-2.4,Matrix,36.2756,4.4815,15.139376888833,0,19.0456,0,11.6596,0.1193,0.2261,8.8712,0,95.818276888833
Bt-2.5,Matrix,36.2405,4.5893,15.1038525834576,0.0367,19.1265,0.0727,11.6918,0.1269,0.2352,8.8613,0,96.0847525834576
Bt-2.6,Matrix,36.2433,4.4741,15.1175314826538,0.0638,19.5664,0.0514,11.6582,0.1384,0.1668,8.6512,0,96.1311314826538
Bt-2.7,Matrix,35.8977,4.4581,14.8926462966134,0.0421,19.1657,0.0648,11.4554,0.231,0.2122,8.5835,0,95.0031462966134
Bt-2.8,Matrix,36.4592,4.4935,15.3162838463491,0,19.5804,0.0547,11.4724,0.1518,0.1888,8.676,0,96.3930838463491
Bt-2.9,Matrix,36.1285,4.3599,15.4395981017903,0.0435,19.5935,0.0578,11.4894,0.0902,0.1606,8.9482,0,96.3111981017903
Bt-2.10,Matrix,35.7767,4.4618,14.8893796938203,0,19.3724,0.0672,11.4024,0.1102,0.2213,8.7955,0,95.0968796938203
Bt-3.1,Matrix,36.0606,3.2862,15.6916369235487,0,20.0344,0,11.2939,0.0968,0.0443,8.9727,0,95.4805369235487
Bt-3.2,Matrix,35.9783,3.4346,15.4971719760194,0.044,20.1683,0,11.1972,0.1258,0.0326,9.1314,0,95.6093719760194
Bt-3.3,Matrix,35.5776,3.0571,15.6780601056897,0.0429,20.9418,0,10.6764,0.0893,0.0358,9.1916,0,95.2905601056897
Bt-3.4,Matrix,35.54,4.5697,14.8832548135831,0.0547,19.5888,0,10.8922,0.0753,0.1125,9.2224,0,94.9388548135831
Bt-3.5,Matrix,35.9719,4.3231,15.256566264037,0.0666,19.7819,0,10.9898,0.0698,0.1228,9.1172,0,95.699666264037
Bt-3.6,Matrix,35.8018,4.5293,14.9344996449005,0.0776,20.1571,0,11.062,0.0838,0.11,9.1079,0,95.8639996449005
