LABEL,position,x,y,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total
Grt-01,rim,10,10,41.4535,0.6135,21.6357,1.2967,11.6875,0.6953,18.2514,4.3077,0.0222,0,,99.9635
Grt-02,rim,20,20,41.8158,0.6215,21.7869,1.3182,10.7699,0.431,19.1166,4.355,0.0133,0,,100.2282
Grt-03,rim,30,30,41.5105,0.6172,21.5441,1.298,10.2758,0.3456,19.3874,4.3406,0.024,0,,99.3432
Grt-04,rim,40,40,41.4137,0.6136,21.4676,1.3155,9.657,0.2911,19.8695,4.3625,0.0137,0,,99.0042
Grt-05,core,50,50,41.8938,0.6247,21.7393,1.3245,9.214,0.2829,20.0355,4.363,0.0406,0,,99.5183
Grt-06,core,60,60,41.8766,0.5315,21.6979,1.2293,8.9611,0.2703,19.9324,4.2888,0.0639,0,,98.8518
Grt-07,rim,70,70,41.4068,0.5953,21.6396,1.2742,10.8324,0.4202,18.9959,4.3222,0.029,0,,99.5156
Grt-08,core,80,80,41.7527,0.612,21.7218,1.3164,8.8107,0.2748,20.3871,4.3676,0.0093,0,,99.2524
Grt-09,core,90,90,41.7474,0.6043,21.6481,1.3197,8.7711,0.2845,20.2976,4.3814,0.0089,0,,99.063
Grt-10,core,100,100,41.6322,0.622,21.7043,1.3278,8.6352,0.272,20.4505,4.3945,0.0142,0,,99.0527
Grt-11,core,110,110,41.7116,0.5781,21.7129,1.3091,8.3023,0.2653,20.5312,4.3812,0.0206,0,,98.8123
Grt-12,core,120,120,41.3176,0.6254,21.4476,1.3284,8.6543,0.2833,20.5668,4.4108,0,0,,98.6342
Grt-13,core,130,130,41.7213,0.6188,21.6267,1.3136,8.5078,0.2653,20.4994,4.426,0.0204,0,,98.9993
Grt-14,rim,140,140,41.6754,0.618,21.5945,1.3158,8.5717,0.2677,20.6087,4.3819,0.0079,0,,99.0416
Grt-15,rim,150,150,41.3951,0.6126,21.409,1.3161,8.8452,0.2722,20.3939,4.403,0.0248,0,,98.6719
