label,Pos,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Total
Opx-1.8,Matrix,51.5068,0.0965,0.565530608562878,0,29.9977,0.5628,17.1611,0.7222,0.0381,0,0,100.650730608563
Opx-1.9,Matrix,51.6385,0.0813,0.527760513767162,0,30.292,0.5253,17.4034,0.6332,0,0,0,101.101460513767
Opx-1.10,Matrix,51.7516,0.0659,0.565836852574735,0,29.9545,0.5363,17.1974,0.7313,0.0745,0,0,100.877336852575
Opx-1.11,Matrix,52.2358,0.0788,0.500913122061018,0,29.9913,0.5517,17.5799,0.6739,0,0,0,101.612313122061
Opx-1.12,Matrix,52.1054,0.0928,0.482028074663161,0,30.0363,0.5702,17.3936,0.7159,0,0,0,101.396228074663
Opx-2.1,Matrix,51.915,0.0658,0.918425791559605,0,28.7471,0.5373,18.2448,0.6215,0,0,0,101.04992579156
Opx-2.2,Matrix,52.0553,0.0593,0.898111605439747,0,28.7407,0.5598,18.3902,0.6111,0,0,0,101.31451160544
Opx-2.3,Matrix,52.0055,0.0753,0.875551629899604,0,28.6631,0.5785,18.5736,0.571,0,0,0,101.3425516299
Opx-2.4,Matrix,52.1516,0.0548,0.80889251665203,0,28.5766,0.6203,18.5913,0.5544,0,0,0,101.357892516652
Opx-2.5,Matrix,52.0527,0.0672,0.70946529413574,0,28.8198,0.5804,18.8261,0.501,0,0,0,101.556665294136
Opx-2.6,Matrix,51.967,0.0824,0.758974742719314,0,28.7489,0.5651,18.6516,0.5646,0,0,0,101.338574742719
Opx-2.7,Matrix,51.7789,0.0747,0.845743879412174,0,28.7356,0.5245,18.5374,0.6047,0,0,0,101.101543879412
Opx-2.8,Matrix,52.1147,0.0527,0.827573401375316,0,28.4955,0.5305,18.5068,0.5874,0,0,0,101.115173401375
Opx-2.9,Matrix,52.111,0.0818,0.847479262146031,0,28.636,0.5713,18.7289,0.5846,0,0,0,101.561079262146
Opx-2.10,Matrix,51.9658,0.0645,0.867691366928603,0,28.8417,0.525,18.6127,0.6246,0,0,0,101.501991366929
